pl_name,hostname,default_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,pl_rade_unc,pl_orbper_unc,pl_eqt_unc,st_teff_unc,st_rad_unc,st_mass_unc,proxy_habitable
WASP-130 b,WASP-130,1,9.97601,0.33627,-0.33627,11.55098,1e-05,-1e-05,833.0,18.0,-18.0,5625.0,90.0,-90.0,0.96,0.03,-0.03,1.04,0.04,-0.04,0.33627,1e-05,18.0,0.03,0.03,0.04,0
WASP-132 b,WASP-132,1,10.09929161,0.42594127,-0.42594127,7.1335164,1.9e-06,-1.9e-06,682.0,75.0,-114.0,4686.0,99.0,-99.0,0.758,0.032,-0.032,0.789,0.039,-0.039,0.42594127,1.9e-06,94.5,0.032,0.032,0.039,0
WASP-132 c,WASP-132,1,1.841,0.094,-0.093,1.01153624,9.3e-07,-8.6e-07,1329.0,123.0,-173.0,4686.0,99.0,-99.0,0.758,0.032,-0.032,0.789,0.039,-0.039,0.0935,8.95e-07,148.0,0.032,0.032,0.039,0
WASP-133 b,WASP-133,1,13.56289,0.56045,-0.56045,2.176423,1e-06,-1e-06,1790.0,40.0,-40.0,5700.0,100.0,-100.0,1.44,0.05,-0.05,1.16,0.08,-0.08,0.56045,1e-06,40.0,0.05,0.05,0.08,0
WASP-138 b,WASP-138,1,12.21781,0.56045,-0.56045,3.634433,5e-06,-5e-06,1590.0,31.0,-31.0,6272.0,96.0,-96.0,1.36,0.05,-0.05,1.22,0.05,-0.05,0.56045,5e-06,31.0,0.05,0.05,0.05,0
WASP-139 b,WASP-139,1,8.9672,0.56045,-0.56045,5.924262,4e-06,-4e-06,910.0,30.0,-30.0,5310.0,90.0,-90.0,0.8,0.04,-0.04,0.92,0.1,-0.1,0.56045,4e-06,30.0,0.04,0.04,0.1,0
WASP-141 b,WASP-141,1,13.56289,0.89672,-0.89672,3.310651,5e-06,-5e-06,1540.0,50.0,-50.0,5900.0,120.0,-120.0,1.37,0.07,-0.07,1.25,0.06,-0.06,0.89672,5e-06,50.0,0.07,0.07,0.06,0
WASP-142 b,WASP-142,1,17.14977,0.89672,-0.89672,2.052868,2e-06,-2e-06,2000.0,60.0,-60.0,6010.0,140.0,-140.0,1.64,0.08,-0.08,1.33,0.08,-0.08,0.89672,2e-06,60.0,0.08,0.08,0.08,0
WASP-144 b,WASP-144,1,9.52765,0.56045,-0.56045,2.2783152,1.3e-06,-1.3e-06,1260.0,40.0,-40.0,5200.0,140.0,-140.0,0.81,0.04,-0.04,0.81,0.04,-0.04,0.56045,1.3e-06,40.0,0.04,0.04,0.04,0
WASP-145 A b,WASP-145 A,1,10.0881,4.4836,-4.4836,1.7690381,8e-07,-8e-07,1200.0,60.0,-60.0,4900.0,150.0,-150.0,0.68,0.07,-0.07,0.76,0.04,-0.04,4.4836,8e-07,60.0,0.07,0.07,0.04,0
WASP-147 b,WASP-147,1,12.498035,1.56926,-1.042437,4.60273,2.7e-05,-2.7e-05,1404.0,69.0,-43.0,5702.0,100.0,-100.0,1.429,0.14,-0.076,1.044,0.07,-0.073,1.3058485000000002,2.7e-05,56.0,0.10800000000000001,0.10800000000000001,0.07150000000000001,0
WASP-149 b,WASP-149,1,15.24421375,0.67253884,-0.67253884,1.332813,6e-07,-5e-07,1855.0,93.0,-93.0,5750.0,125.0,-125.0,1.08,0.049,-0.049,1.05,0.06,-0.06,0.67253884,5.5e-07,93.0,0.049,0.049,0.06,0
WASP-150 b,WASP-150,1,11.99363,0.269016,-0.280225,5.644207,3e-06,-4e-06,1460.0,11.0,-11.0,6218.0,49.0,-45.0,1.651,0.024,-0.03,1.394,0.07,-0.049,0.2746205,3.5e-06,11.0,0.027,0.027,0.059500000000000004,0
WASP-153 b,WASP-153,1,17.37395,1.1209,-0.89672,3.332609,2e-06,-2e-06,1700.0,40.0,-40.0,5914.0,64.0,-64.0,1.73,0.1,-0.09,1.336,0.086,-0.086,1.00881,2e-06,40.0,0.095,0.095,0.086,0
